chunk_id,question
604727_0,What is the origin of coffee consumption according to the article?
604727_0,Which two main types of coffee beans are mentioned in the text?
604727_0,How has the global coffee industry economically performed as of 2023?
604727_0,What are some common ways coffee can be prepared and served?
604727_0,Where are coffee plants primarily cultivated around the world?
604727_1,What historical significance does coffee have among the Sufis of Yemen?
604727_1,In which countries is coffee primarily cultivated according to the article?
604727_1,Which two types of coffee beans are the most commonly grown?
604727_1,What percentage of the world's coffee production did Brazil account for in 2023?
604727_1,What are some criticisms of the coffee industry mentioned in the article?
604727_2,What is the origin of the word coffee in the English language?
604727_2,How does the Arabic term qahwah relate to the meaning of coffee?
604727_2,Can you tell me about the legend of Kaldi and its significance to coffee history?
604727_2,What are the earliest known mentions of coffee-related terms like coffee pot and coffee break?
604727_2,Why is the etymology of qahwah linked to terms meaning 'dark color' or 'wine'?
604727_3,What are some legendary accounts and myths surrounding the origin of coffee?
604727_3,Who is said to have introduced the stimulant beverage to Muhammad according to one tradition?
604727_3,What does the legend of Kaldi involve regarding the discovery of coffee?
604727_3,When do the earliest references to coffee beans appear according to historical texts?
604727_3,What benefits were attributed to the plant component called bunchum by al-Razi and Ibn Sina?
604727_4,What legend attributes the discovery of coffee to Sheikh Omar and what was his experience that led to this discovery?
604727_4,What do the historical texts of al-Razi and Avicenna claim about the benefits of the coffee plant component called bunchum?
604727_4,When did coffee drinking become well established among Sufi communities in Yemen?
604727_4,Who was Abd al-Qadir al-Jaziri and what was the significance of his work regarding coffee?
604727_4,"What indications suggest the early collection and use of coffee in southeastern Ethiopia, and when is this believed to have occurred?"
604727_5,What role did Sufi communities in Yemen play in the history of coffee drinking?
604727_5,Who was Abd al-Qadir al-Jaziri and what did he contribute to the understanding of coffee's history?
604727_5,What regions in Yemen are mentioned as significant for early coffee consumption?
604727_5,How did the consumption of coffee spread from Ethiopia to Yemen?
604727_5,What methods were used to prepare coffee in Yemen during the early accounts of its consumption?
604727_6,In which regions of Yemen did the consumption of coffee first appear during the 15th century?
604727_6,Who wrote about the development of the coffee plant from a tree in the Zeila region during the 16th century?
604727_6,What role did coffee play in the rituals of Sufi circles?
604727_6,What description did Leonhard Rauwolf provide about coffee after his trip to the Near East?
604727_6,When and where did the first coffeehouse open within the Ottoman Empire?
604727_7,Who was the first person to introduce coffee to Arabia according to the article?
604727_7,What did Leonhard Rauwolf describe coffee as after his trip to the Near East?
604727_7,When and where did the first European coffeehouse open?
604727_7,How did Pope Clement VIII's declaration affect the acceptance of coffee in Europe?
604727_7,Which organization was the first to import coffee on a large scale and where did they grow it?
604727_8,"What year did coffee spread to Italy and subsequently to other parts of Europe, Indonesia, and the Americas?"
